ID,Verb,Variable,NewVal,Comment,Reviewer,,
CW463_GP_2023_WP_Bio,Flag,SeedMassAirDry,,"No crop, all may weed",Bryan Carlson,,
CE338_GP_2023_WP_Bio,Flag,BiomassAirDry,,30% weeds,Bryan Carlson,,
CE359_GP_2023_WP_Bio,Flag,BiomassAirDry,,30% prickly lettuce,Bryan Carlson,,
CE360_GP_2023_WP_Bio,Flag,BiomassAirDry,,"60% weeds mayweed, prickly lettuce, italian ryegrass",Bryan Carlson,,
CE381_GP_2023_WP_Bio,Flag,BiomassAirDry,,90% Mayweed,Bryan Carlson,,
CE424_GP_2023_WP_Bio,Flag,BiomassAirDry,,"No crop, all may weed.",Bryan Carlson,,
CW436_GP_2023_WP_Bio,Flag,BiomassAirDry,,"no crop, all may weed. ",Bryan Carlson,,
CW438_GP_2023_WP_Bio,Flag,BiomassAirDry,,Mostly scouring rush,Bryan Carlson,,
CW440_GP_2023_WP_Bio,Flag,BiomassAirDry,,"no crop, all prickely lettuce. ",Bryan Carlson,,
CW444_GP_2023_WP_Bio,Flag,BiomassAirDry,,"No crop, all may weed.",Bryan Carlson,,
CW463_GP_2023_WP_Bio,Flag,BiomassAirDry,,"No crop, all may weed",Bryan Carlson,,
CW502_GP_2023_WP_Bio,Update,CropExists,0,"no crop, unplanted large bare patch larger than 30 X 30 ft. ",Bryan Carlson,,
CW503_GP_2023_WP_Bio,Update,CropExists,0,"No crop, not planted, bare patch larger than 30 X 30 ft. ",Bryan Carlson,,
CW522_GP_2023_WP_Bio,Update,CropExists,0,"No crop, all may weed.",Bryan Carlson,,
CW534_GP_2023_WP_Bio,Update,CropExists,0,"No crop, all may weed.",Bryan Carlson,,
CW535_GP_2023_WP_Bio,Update,CropExists,0,"No crop, all may weed.",Bryan Carlson,,
CW536_GP_2023_WP_Bio,Update,CropExists,0,"No crop, all may weed.",Bryan Carlson,,
CW550_GP_2023_WP_Bio,Update,CropExists,0,"No crop, all may weed.",Bryan Carlson,,
CW569_GP_2023_WP_Bio,Update,CropExists,0,"No crop, all may weed.",Bryan Carlson,,
CW570_GP_2023_WP_Bio,Update,CropExists,0,"No crop, all may weed.",Bryan Carlson,,`
CE269_GP_2023_WP_Bio,Flag,BiomassAirDry,,Could not get 5 subsamples for NIR to much deviation,Bryan Carlson,,
CW541_GP_2023_WP_Bio,Flag,BiomassAirDry,,Too small a sample to Run through NIR. ,Bryan Carlson,,
CE269_GP_2023_WP_Bio,Flag,SeedMassAirDry,,Could not get 5 subsamples for NIR to much deviation,Bryan Carlson,,
CW541_GP_2023_WP_Bio,Flag,SeedMassAirDry,,Too small a sample to Run through NIR. ,Bryan Carlson,,
